iter	Passed	Remaining
0	183	183170
1	185	92730
2	190	63317
3	192	48008
4	199	39660
5	202	33480
6	204	28940
7	206	25647
8	210	23128
9	213	21160
10	216	19456
11	220	18167
12	222	16904
13	227	16011
14	228	15035
15	231	14214
16	233	13489
17	238	13030
18	240	12398
19	242	11882
20	244	11403
21	250	11118
22	253	10752
23	255	10373
24	257	10042
25	260	9762
26	268	9677
27	273	9503
28	280	9402
29	286	9250
30	294	9203
31	297	8999
32	302	8868
33	307	8742
34	315	8702
35	322	8635
36	329	8569
37	338	8570
38	342	8437
39	348	8353
40	351	8230
41	356	8129
42	361	8042
43	372	8084
44	394	8363
45	402	8351
46	405	8224
47	429	8516
48	441	8565
49	449	8536
50	457	8505
51	462	8424
52	475	8488
53	480	8418
54	490	8429
55	494	8337
56	502	8317
57	506	8223
58	510	8145
59	517	8106
60	522	8043
61	527	7976
62	535	7966
63	539	7886
64	544	7831
65	548	7766
66	552	7695
67	555	7617
68	562	7594
69	566	7532
70	569	7451
71	573	7392
72	579	7352
73	585	7331
74	593	7323
75	601	7315
76	607	7281
77	611	7229
78	616	7181
79	623	7169
80	634	7203
81	643	7201
82	644	7123
83	648	7071
84	655	7056
85	660	7016
86	681	7146
87	688	7138
88	695	7117
89	703	7115
90	708	7079
91	713	7046
92	717	6997
93	721	6952
94	732	6975
95	737	6948
96	745	6940
97	748	6893
98	751	6843
99	759	6839
100	769	6852
101	773	6806
102	784	6829
103	790	6812
104	793	6765
105	796	6721
106	801	6690
107	804	6646
108	808	6612
109	814	6586
110	819	6565
111	824	6535
112	842	6610
113	859	6681
114	864	6649
115	869	6627
116	880	6641
117	883	6605
118	885	6558
119	892	6545
120	898	6529
121	901	6487
122	905	6454
123	913	6456
124	918	6426
125	943	6547
126	949	6529
127	959	6539
128	962	6502
129	968	6479
130	973	6460
131	976	6420
132	985	6421
133	988	6387
134	992	6357
135	1000	6357
136	1010	6363
137	1021	6380
138	1029	6377
139	1036	6365
140	1043	6359
141	1061	6414
142	1070	6415
143	1075	6391
144	1086	6404
145	1088	6369
146	1096	6360
147	1117	6435
148	1145	6543
149	1149	6512
150	1155	6495
151	1165	6499
152	1177	6516
153	1181	6489
154	1190	6488
155	1196	6471
156	1199	6441
157	1205	6425
158	1208	6391
159	1214	6378
160	1217	6345
161	1231	6372
162	1239	6363
163	1243	6336
164	1246	6308
165	1255	6307
166	1258	6277
167	1262	6250
168	1265	6223
169	1273	6217
170	1278	6197
171	1282	6172
172	1285	6145
173	1290	6127
174	1295	6106
